ds,yhat,yhat_lower,yhat_upper,series
2029-10-01,108144.17670151274,10469.360217085668,201720.377645039,SriLanka_Total
2029-11-01,137624.98824968105,52711.886590651484,232386.7483148897,SriLanka_Total
2029-12-01,178577.98098467273,91376.04323370094,275421.4483017295,SriLanka_Total
2030-01-01,190477.22848504255,95298.16856598917,288073.5194142936,SriLanka_Total
2030-02-01,190805.56503353684,95948.22309257973,282465.214302089,SriLanka_Total
2030-03-01,174775.53741380724,79310.70892046353,267871.5707240606,SriLanka_Total
2030-04-01,131807.01124264687,37408.64964757919,223817.2800479964,SriLanka_Total
2030-05-01,84168.23220052557,-13241.858540686724,178347.71206914377,SriLanka_Total
2030-06-01,96048.14805690886,6322.8749904006645,190542.71007748932,SriLanka_Total
2030-07-01,136806.45531429828,48947.99738975624,226567.74139298077,SriLanka_Total
2030-08-01,134580.52563575836,39201.33577680539,221100.55302417118,SriLanka_Total
2030-09-01,106289.25729417244,12355.54748695838,200527.08117823352,SriLanka_Total
2030-10-01,103800.47633275547,10123.529010482564,199317.46669788525,SriLanka_Total
2030-11-01,139557.32464914882,48685.412667940655,233884.5384550675,SriLanka_Total
2030-12-01,189599.49117377438,100624.30718661024,283816.6353395379,SriLanka_Total
2031-01-01,196725.1044378302,102694.86675335858,296691.60217033036,SriLanka_Total
2031-02-01,197244.75120797977,99280.24679936862,294580.8935230662,SriLanka_Total
2031-03-01,176634.09005011286,84079.54201963406,267937.14741426293,SriLanka_Total
2031-04-01,142836.5950838016,46752.52820031072,242029.35794933297,SriLanka_Total
2031-05-01,78109.5402050343,-22906.659179746286,167569.5355686893,SriLanka_Total
2031-06-01,96660.71924460576,1718.2963374481585,188521.92090616777,SriLanka_Total
2031-07-01,139646.47251172448,40911.50018092721,240727.26784250204,SriLanka_Total
2031-08-01,139793.21063176272,50813.378124296105,235050.67756937875,SriLanka_Total
2031-09-01,102957.4999768438,6332.688759656776,191052.9515537071,SriLanka_Total
2031-10-01,99606.54189980104,10266.029576547799,192408.04406441096,SriLanka_Total
2031-11-01,141434.66941040373,47489.45022441712,235765.314167238,SriLanka_Total
2031-12-01,200533.36923851448,116673.30935411967,293030.6066060633,SriLanka_Total
2032-01-01,202996.50294452638,104390.6448703908,298711.54055768927,SriLanka_Total
2032-02-01,203496.0752128206,113002.91903582061,288540.3231122708,SriLanka_Total
2032-03-01,182189.04720386196,88516.37042663553,273268.1946733338,SriLanka_Total
2032-04-01,121110.73653046548,26074.93549302299,217085.66200698467,SriLanka_Total
2032-05-01,106368.77458276191,17934.44650198293,198720.76748062207,SriLanka_Total
2032-06-01,105330.621873699,13896.339896397834,197267.18839253613,SriLanka_Total
2032-07-01,141890.34816479613,48789.65568920166,234274.12459899898,SriLanka_Total
2032-08-01,134610.06797981722,39741.308451778445,234246.6147905418,SriLanka_Total
2032-09-01,123575.5314945549,38796.0870191942,219220.84656083927,SriLanka_Total
2032-10-01,123271.44889378251,32205.420441580143,218160.2111906199,SriLanka_Total
2032-11-01,146275.70245299916,56871.123192556595,241812.44541000764,SriLanka_Total
2032-12-01,178107.55650437003,84522.1350270265,272810.83606664016,SriLanka_Total
2033-01-01,194888.51259829168,99808.71798801683,290609.3893984391,SriLanka_Total
2033-02-01,194811.96103772294,101337.326219412,289458.97834600013,SriLanka_Total
2033-03-01,183719.53083990412,84584.86892135254,276130.88935802714,SriLanka_Total
2033-04-01,131652.17514550782,40100.68341381731,231565.99493978056,SriLanka_Total
2033-05-01,100678.14364610026,12277.078249591541,198494.25441477622,SriLanka_Total
2033-06-01,106028.71615581744,15702.064467786737,197697.04185587354,SriLanka_Total
2033-07-01,144644.4644199618,57720.022522563086,232974.1920230858,SriLanka_Total
2033-08-01,139942.28259948187,39217.6668269709,226916.23794993194,SriLanka_Total
2033-09-01,120253.5201975459,26403.78580940556,220568.9346155435,SriLanka_Total
2033-10-01,118779.30767139074,23433.08807985874,215933.39821746206,SriLanka_Total
2033-11-01,148260.11921952417,57495.54479891363,243083.66735080822,SriLanka_Total
2033-12-01,189213.11195460896,93622.43908015064,282967.4954027013,SriLanka_Total
2034-01-01,201112.3594547928,103541.89970645185,299971.9800571683,SriLanka_Total
2034-02-01,201440.69600336824,112451.51653282548,300971.18074757734,SriLanka_Total
2034-03-01,185410.66838363095,87987.55237410117,277770.993668875,SriLanka_Total
2034-04-01,142442.1422124846,55511.95287991492,230487.82131897032,SriLanka_Total
2034-05-01,94803.36317038244,2108.927277952468,189767.1069568444,SriLanka_Total
2034-06-01,106683.27902669311,15621.14212043186,203339.1313129798,SriLanka_Total
2034-07-01,147441.5862841293,51293.39106313798,238492.8302226074,SriLanka_Total
2034-08-01,145215.65660551598,54467.289017398965,240559.95131283102,SriLanka_Total
2034-09-01,116924.38826399067,28272.076402743965,203985.93935318838,SriLanka_Total
2034-10-01,114435.60730249295,22647.870598720983,210413.26469605535,SriLanka_Total
2034-11-01,150192.455618909,54119.31448243394,248008.14148677664,SriLanka_Total
2034-12-01,200234.62214353745,113192.82344503254,295559.3411802697,SriLanka_Total
2035-01-01,207360.235407611,114008.66876136913,302562.9500865353,SriLanka_Total
2035-02-01,207879.88217778728,114244.97120487162,300465.8333485778,SriLanka_Total
